,slurm_id,N,D,O,epochs,lr,dset,loss,seed,reservoir_seed
30,40,100,100,1,100,0.001,data/rsg_tl100_s10.pkl,0.17935690000653268,712999796,1
31,36,100,100,1,100,0.01,data/rsg_tl100_s10.pkl,0.047462562285363684,767828414,1
32,10,250,10,1,100,0.01,data/rsg_tl100_s10.pkl,1.0358428490161895,214410211,1
33,31,250,50,1,100,0.001,data/rsg_tl100_s10.pkl,0.6194711858034134,850500192,0
34,32,250,50,1,100,0.001,data/rsg_tl100_s10.pkl,0.6599893569946289,302650488,1
35,30,250,50,1,100,0.001,data/rsg_tl100_s10.pkl,0.6715586423873902,263642075,1
36,47,250,100,1,100,0.001,data/rsg_tl100_s10.pkl,0.3203555056452751,209499651,0
37,44,250,100,1,100,0.01,data/rsg_tl100_s10.pkl,0.14279267877340318,701127319,1
38,45,250,100,1,100,0.001,data/rsg_tl100_s10.pkl,0.5349566486477851,966744051,0
39,41,250,100,1,100,0.01,data/rsg_tl100_s10.pkl,1.1443846836686131,555262427,0
40,48,250,100,1,100,0.001,data/rsg_tl100_s10.pkl,0.4041708007454872,862344502,1
41,42,250,100,1,100,0.01,data/rsg_tl100_s10.pkl,0.4672143605351448,541412220,1
42,46,250,100,1,100,0.001,data/rsg_tl100_s10.pkl,0.2513015627861023,83255178,1
43,43,250,100,1,100,0.01,data/rsg_tl100_s10.pkl,0.16458101995289326,9749809,0
44,52,250,250,1,100,0.01,data/rsg_tl100_s10.pkl,0.19345641553401946,421868504,1
45,51,250,250,1,100,0.01,data/rsg_tl100_s10.pkl,0.11632891338318585,656762779,0
46,53,250,250,1,100,0.001,data/rsg_tl100_s10.pkl,0.11563221633434295,844138428,0
47,49,250,250,1,100,0.01,data/rsg_tl100_s10.pkl,0.22287882529199124,520952401,0
48,50,250,250,1,100,0.01,data/rsg_tl100_s10.pkl,0.051091611348092564,763327180,1
49,17,100,50,1,100,0.01,data/rsg_tl100_s10.pkl,0.13659959599375726,219957902,0
50,18,100,50,1,100,0.01,data/rsg_tl100_s10.pkl,0.10987229764461516,810547188,1
51,15,250,10,1,100,0.001,data/rsg_tl100_s10.pkl,1.1141715371608734,69923642,0
52,16,250,10,1,100,0.001,data/rsg_tl100_s10.pkl,1.2481905543804168,466981022,1
